id,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max
2003-03-232.76083101.738,31.1,24.7,27.5,1.9,9.9
2003-04-06-23.7036-46.6997,21.1,16.7,19.3,14.6,12.6
2003-04-2044.343911.7167,18.2,7.8,12.8,0.0,15.9
2003-05-0441.572.26111,22.5,12.1,17.7,0.0,16.3
2003-05-1847.219714.7647,18.9,5.1,13.6,2.7,6.8
2003-06-0143.73477.42056,21.9,17.4,20.0,1.2,6.8
2003-06-1545.5-73.5228,19.2,11.7,15.6,0.2,18.6
2003-06-2950.33566.9475,22.7,11.3,17.8,0.0,9.5
2003-07-0646.86423.16361,23.0,12.3,18.8,0.0,11.3
2003-07-2052.0786-1.01694,22.0,13.4,17.9,0.0,23.5
2003-08-0349.32788.56583,34.9,20.3,28.9,0.0,9.0
2003-08-2447.578919.2486,27.8,16.3,22.6,0.0,19.9
2003-09-1445.61569.28111,22.2,11.4,17.6,0.0,8.3
2003-09-2839.795-86.2347,13.3,7.7,10.6,2.9,17.9
2003-10-1234.8431136.541,23.2,20.0,21.9,33.7,27.0
2002-03-03-37.8497144.968,20.9,13.4,16.4,0.5,21.3
2002-03-172.76083101.738,30.1,23.1,26.4,7.4,12.1
2002-03-31-23.7036-46.6997,28.7,17.1,23.0,0.0,12.6
2002-04-1444.343911.7167,17.9,6.5,12.6,1.1,11.8
2002-04-2841.572.26111,18.8,11.7,15.1,0.0,19.7
2002-05-1247.219714.7647,18.8,7.1,13.1,8.4,8.2
2002-05-2643.73477.42056,20.2,15.9,18.3,0.2,9.8
2002-06-0945.5-73.5228,22.4,15.6,18.8,0.1,26.0
2002-06-2350.33566.9475,19.4,11.4,15.5,0.0,14.2
2002-07-0752.0786-1.01694,18.3,12.3,15.0,0.4,20.6
2002-07-2146.86423.16361,23.9,14.7,19.3,0.0,13.5
2002-07-2849.32788.56583,28.0,15.6,21.9,0.0,11.5
2002-08-1847.578919.2486,27.1,16.8,21.7,0.0,11.9
2002-09-0150.43725.97139,15.4,10.3,12.9,0.0,18.2
