precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,driverId,grid,driver_age,constructor,results
7.2,16.8,9.6,13.2,19.4,4,5,828,17,33,15,1
7.2,16.8,9.6,13.2,19.4,4,5,845,19,28,3,1
7.2,16.8,9.6,13.2,19.4,4,5,838,11,31,1,0
7.2,16.8,9.6,13.2,19.4,4,5,839,13,27,10,0
7.2,16.8,9.6,13.2,19.4,4,5,8,4,44,6,0
7.2,16.8,9.6,13.2,19.4,4,5,154,10,37,210,0
7.2,16.8,9.6,13.2,19.4,4,5,842,12,27,5,0
7.2,16.8,9.6,13.2,19.4,4,5,807,16,36,4,0
0.6,25.2,20.1,22.8,17.4,6,5,817,1,34,9,1
0.6,25.2,20.1,22.8,17.4,6,5,20,2,36,6,1
0.6,25.2,20.1,22.8,17.4,6,5,1,3,38,131,1
0.6,25.2,20.1,22.8,17.4,6,5,8,4,44,6,1
0.6,25.2,20.1,22.8,17.4,6,5,822,5,34,131,1
0.6,25.2,20.1,22.8,17.4,6,5,839,6,27,10,1
0.6,25.2,20.1,22.8,17.4,6,5,842,10,27,5,1
0.6,25.2,20.1,22.8,17.4,6,5,807,11,36,4,1
0.6,25.2,20.1,22.8,17.4,6,5,830,20,26,9,1
0.6,25.2,20.1,22.8,17.4,6,5,832,8,29,4,1
0.6,25.2,20.1,22.8,17.4,6,5,828,16,33,15,1
0.6,25.2,20.1,22.8,17.4,6,5,815,9,33,10,1
0.6,25.2,20.1,22.8,17.4,6,5,825,19,31,210,1
0.6,25.2,20.1,22.8,17.4,6,5,838,12,31,1,1
0.6,25.2,20.1,22.8,17.4,6,5,154,18,37,210,1
0.6,25.2,20.1,22.8,17.4,6,5,845,13,28,3,1
0.6,25.2,20.1,22.8,17.4,6,5,840,17,24,3,1
0.6,25.2,20.1,22.8,17.4,6,5,844,14,26,15,0
0.6,25.2,20.1,22.8,17.4,6,5,843,15,33,5,0
0.6,25.2,20.1,22.8,17.4,6,5,4,7,42,1,0
0.0,19.6,9.9,15.2,12.6,7,6,20,1,36,6,1
0.0,19.6,9.9,15.2,12.6,7,6,822,2,34,131,1
0.0,19.6,9.9,15.2,12.6,7,6,830,3,26,9,1
0.0,19.6,9.9,15.2,12.6,7,6,817,6,34,9,1
0.0,19.6,9.9,15.2,12.6,7,6,1,4,38,131,1
0.0,19.6,9.9,15.2,12.6,7,6,8,5,44,6,1
0.0,19.6,9.9,15.2,12.6,7,6,807,7,36,4,1
0.0,19.6,9.9,15.2,12.6,7,6,832,9,29,4,1
0.0,19.6,9.9,15.2,12.6,7,6,839,8,27,10,1
0.0,19.6,9.9,15.2,12.6,7,6,844,13,26,15,1
0.0,19.6,9.9,15.2,12.6,7,6,842,16,27,5,1
0.0,19.6,9.9,15.2,12.6,7,6,154,20,37,210,1
0.0,19.6,9.9,15.2,12.6,7,6,825,11,31,210,1
0.0,19.6,9.9,15.2,12.6,7,6,815,10,33,10,1
0.0,19.6,9.9,15.2,12.6,7,6,828,19,33,15,1
0.0,19.6,9.9,15.2,12.6,7,6,838,15,31,1,1
0.0,19.6,9.9,15.2,12.6,7,6,845,18,28,3,1
0.0,19.6,9.9,15.2,12.6,7,6,4,14,42,1,0
0.0,19.6,9.9,15.2,12.6,7,6,843,12,33,5,0
0.0,19.6,9.9,15.2,12.6,7,6,840,17,24,3,0
1.7,22.7,15.2,19.7,13.1,34,6,1,1,38,131,1
1.7,22.7,15.2,19.7,13.1,34,6,830,4,26,9,1
1.7,22.7,15.2,19.7,13.1,34,6,8,6,44,6,1
1.7,22.7,15.2,19.7,13.1,34,6,817,5,34,9,1
1.7,22.7,15.2,19.7,13.1,34,6,20,3,36,6,1
1.7,22.7,15.2,19.7,13.1,34,6,825,9,31,210,1
1.7,22.7,15.2,19.7,13.1,34,6,822,2,34,131,1
1.7,22.7,15.2,19.7,13.1,34,6,832,7,29,4,1
1.7,22.7,15.2,19.7,13.1,34,6,807,12,36,4,1
1.7,22.7,15.2,19.7,13.1,34,6,844,8,26,15,1
1.7,22.7,15.2,19.7,13.1,34,6,154,10,37,210,1
1.7,22.7,15.2,19.7,13.1,34,6,838,17,31,1,1
1.7,22.7,15.2,19.7,13.1,34,6,828,15,33,15,1
1.7,22.7,15.2,19.7,13.1,34,6,843,20,33,5,1
1.7,22.7,15.2,19.7,13.1,34,6,845,18,28,3,1
1.7,22.7,15.2,19.7,13.1,34,6,4,16,42,1,0
1.7,22.7,15.2,19.7,13.1,34,6,840,19,24,3,0
