precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,year,month,driver_count,results
0.0,34.9,20.3,28.9,9.0,10,2003,8,20,6
0.0,27.8,16.3,22.6,19.9,11,2003,8,20,0
0.0,22.2,11.4,17.6,8.3,14,2003,9,20,0
2.9,13.3,7.7,10.6,17.9,19,2003,9,20,4
33.7,23.2,20.0,21.9,27.0,22,2003,10,20,0
0.5,20.9,13.4,16.4,21.3,1,2002,3,22,8
7.4,30.1,23.1,26.4,12.1,2,2002,3,22,0
0.0,28.7,17.1,23.0,12.6,18,2002,3,22,1
1.1,17.9,6.5,12.6,11.8,21,2002,4,22,0
0.0,18.8,11.7,15.1,19.7,4,2002,4,22,0
8.4,18.8,7.1,13.1,8.2,70,2002,5,22,3
0.2,20.2,15.9,18.3,9.8,6,2002,5,22,6
0.1,22.4,15.6,18.8,26.0,7,2002,6,22,0
0.0,19.4,11.4,15.5,14.2,20,2002,6,22,3
0.4,18.3,12.3,15.0,20.6,9,2002,7,21,0
0.0,23.9,14.7,19.3,13.5,8,2002,7,22,1
0.0,28.0,15.6,21.9,11.5,10,2002,7,21,0
0.0,27.1,16.8,21.7,11.9,11,2002,8,20,0
0.0,15.4,10.3,12.9,18.2,13,2002,9,20,0
0.0,23.9,9.4,17.2,14.1,14,2002,9,20,2
0.0,25.5,14.0,19.4,11.3,19,2002,9,20,0
0.0,24.8,17.4,20.4,17.1,22,2002,10,20,1
0.0,25.0,15.9,19.9,21.7,1,2001,3,22,2
1.3,29.1,23.9,26.3,15.5,2,2001,3,22,0
9.3,26.8,17.2,21.4,7.9,18,2001,4,22,3
0.0,13.7,-0.4,8.5,16.8,21,2001,4,22,0
0.4,17.6,9.6,14.2,21.3,4,2001,4,22,2
0.0,18.8,5.8,12.2,11.3,70,2001,5,22,0
0.0,24.6,18.3,21.9,7.8,6,2001,5,22,2
0.1,24.8,13.9,19.4,17.3,7,2001,6,22,4
0.0,21.1,9.6,16.3,8.4,20,2001,6,22,0
0.0,23.6,15.6,19.5,13.3,8,2001,7,22,0
0.1,16.1,7.8,12.8,11.9,9,2001,7,22,2
0.0,28.2,18.6,23.8,12.2,10,2001,7,22,3
0.2,29.8,18.2,24.1,8.7,11,2001,8,22,0
1.5,15.5,7.7,13.1,20.2,13,2001,9,22,4
0.0,20.3,9.0,14.5,11.7,14,2001,9,22,1
0.0,20.6,7.9,14.3,11.4,19,2001,9,22,0
0.0,22.7,12.5,17.0,11.8,22,2001,10,22,2
0.0,29.6,18.5,23.5,22.8,1,2000,3,22,0
0.8,25.4,17.9,20.7,13.0,18,2000,3,22,0
0.8,17.6,5.6,11.9,15.9,21,2000,4,22,0
0.8,13.7,3.0,8.6,14.1,9,2000,4,22,0
1.7,21.2,13.9,17.1,14.5,4,2000,5,22,2
5.5,10.3,3.1,7.7,18.1,20,2000,5,21,5
0.0,24.8,18.3,21.9,9.2,6,2000,6,22,0
1.9,16.8,11.0,14.3,12.5,7,2000,6,22,3
1.2,29.8,16.1,22.5,17.7,8,2000,7,22,0
0.0,15.3,7.5,11.6,15.3,70,2000,7,22,5
4.4,21.0,13.8,17.0,9.9,10,2000,7,22,4
0.2,31.0,16.9,24.1,11.4,11,2000,8,22,0
5.2,17.2,11.6,14.7,14.1,13,2000,8,22,1
0.0,25.3,12.1,19.2,6.9,14,2000,9,22,6
10.5,19.7,12.9,14.8,18.5,19,2000,9,22,1
47.8,23.2,18.2,19.6,21.3,22,2000,10,22,0
1.1,29.1,24.1,26.4,15.5,2,2000,10,22,3
0.0,24.3,14.3,17.6,16.6,1,2009,3,20,4
25.6,28.7,23.1,25.2,9.3,2,2009,4,20,0
34.7,22.2,17.3,19.0,32.3,17,2009,4,20,1
0.0,31.3,26.3,28.3,28.3,3,2009,4,20,0
0.2,21.5,14.3,17.9,14.6,4,2009,5,20,4
0.0,26.4,18.3,23.1,9.0,6,2009,5,20,5
0.0,29.0,16.0,23.6,13.5,5,2009,6,20,0
0.0,15.7,9.2,13.5,17.1,9,2009,6,20,2
1.9,19.2,11.2,14.6,21.9,20,2009,7,20,0
0.0,23.8,13.3,19.0,19.9,11,2009,7,20,0
