precipitation_sum,temperature_2m_max,temperature_2m_min,temperature_2m_mean,windspeed_10m_max,circuit_id,month,year,driverId,grid,driver_age,constructor,driver_count,results
0.0,22.3,13.9,18.3,12.5,4,5,2017,1,1,38,131,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,20,2,36,6,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,817,6,34,9,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,815,8,33,10,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,839,10,27,10,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,807,13,36,4,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,832,12,29,5,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,836,15,29,15,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,826,19,29,5,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,154,14,37,210,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,828,16,33,15,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,4,7,42,1,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,13,9,42,3,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,825,11,31,210,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,835,17,32,4,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,840,18,24,3,20,1
0.0,22.3,13.9,18.3,12.5,4,5,2017,822,3,34,131,20,0
0.0,22.3,13.9,18.3,12.5,4,5,2017,838,20,31,1,20,0
0.0,22.3,13.9,18.3,12.5,4,5,2017,830,5,26,9,20,0
0.0,22.3,13.9,18.3,12.5,4,5,2017,8,4,44,6,20,0
0.0,25.0,17.8,22.4,6.8,6,5,2017,20,2,36,6,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,8,1,44,6,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,817,5,34,9,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,822,3,34,131,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,830,4,26,9,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,832,6,29,5,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,1,13,38,131,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,154,8,37,210,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,13,14,42,3,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,825,11,31,210,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,835,16,32,4,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,839,15,27,10,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,815,7,33,10,20,1
0.0,25.0,17.8,22.4,6.8,6,5,2017,826,9,29,5,20,0
0.0,25.0,17.8,22.4,6.8,6,5,2017,840,17,24,3,20,0
0.0,25.0,17.8,22.4,6.8,6,5,2017,838,12,31,1,20,0
0.0,25.0,17.8,22.4,6.8,6,5,2017,828,19,33,15,20,0
0.0,25.0,17.8,22.4,6.8,6,5,2017,18,20,43,1,20,0
